time,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg
20210929,1715.84,1715.84,1663.28,1664.15,0.0,-2.76,56.27,50.47,0.0,0.0
20210930,1666.68,1712.96,1666.68,1708.96,0.0,2.69,44.04,45.35,0.0,0.0
20211008,1706.8,1712.04,1676.27,1690.04,0.0,-1.11,58.88,56.57,0.0,0.0
20211011,1690.68,1707.81,1645.9,1648.12,0.0,-2.48,57.6,55.6,0.0,0.0
20211012,1643.69,1668.96,1626.57,1634.19,0.0,-0.85,54.82,51.14,0.0,0.0
20211013,1640.31,1680.95,1636.5,1672.25,0.0,2.33,48.07,48.99,0.0,0.0
20211014,1676.77,1678.39,1640.95,1653.26,0.0,-1.14,47.02,44.13,0.0,0.0
20211015,1646.18,1649.35,1626.7,1635.16,0.0,-1.1,52.61,47.8,0.0,0.0
20211018,1628.31,1632.04,1605.51,1616.81,0.0,-1.12,50.73,45.25,0.0,0.0
20211019,1613.42,1654.47,1612.68,1647.7,0.0,1.91,47.24,42.84,0.0,0.0
20211020,1646.84,1655.11,1615.3,1634.88,0.0,-0.78,47.89,43.06,0.0,0.0
20211021,1633.16,1654.88,1614.39,1628.65,0.0,-0.38,51.05,44.2,0.0,0.0
20211022,1631.07,1637.41,1619.95,1626.09,0.0,-0.16,49.4,43.71,0.0,0.0
20211025,1629.19,1650.78,1628.59,1646.78,0.0,1.27,53.39,40.09,0.0,0.0
20211026,1647.89,1653.7,1630.27,1632.94,0.0,-0.84,55.56,42.06,0.0,0.0
20211027,1623.2,1626.05,1583.33,1594.65,0.0,-2.35,73.87,53.04,0.0,0.0
20211028,1587.89,1597.65,1576.25,1579.97,0.0,-0.92,79.75,65.32,0.0,0.0
20211029,1564.7,1591.85,1558.91,1586.24,0.0,0.4,63.67,63.95,0.0,0.0
20211101,1587.96,1590.13,1566.86,1575.16,0.0,-0.7,68.63,53.76,0.0,0.0
20211102,1575.35,1591.48,1542.91,1544.56,0.0,-1.94,70.43,59.02,0.0,0.0
20211103,1553.81,1570.37,1543.88,1554.8,0.0,0.66,69.24,57.97,0.0,0.0
20211104,1559.0,1582.68,1558.69,1568.66,0.0,0.89,59.66,52.58,0.0,0.0
20211105,1566.57,1570.77,1546.71,1548.36,0.0,-1.29,63.08,47.33,0.0,0.0
20211108,1542.55,1543.93,1506.77,1515.54,0.0,-2.12,66.22,51.16,0.0,0.0
20211109,1516.55,1550.85,1516.12,1545.35,0.0,1.97,59.65,42.22,0.0,0.0
20211110,1550.05,1569.48,1535.74,1568.51,0.0,1.5,78.9,51.05,0.0,0.0
20211111,1569.54,1586.89,1563.07,1583.97,0.0,0.99,71.46,51.04,0.0,0.0
20211112,1583.09,1599.95,1578.17,1592.91,0.0,0.57,56.03,42.1,0.0,0.0
20211115,1597.86,1626.49,1597.86,1617.66,0.0,1.55,96.84,67.89,0.0,0.0
20211116,1619.89,1655.32,1619.86,1643.84,0.0,1.62,82.2,69.01,0.0,0.0
20211117,1642.67,1655.23,1634.44,1653.63,0.0,0.6,66.03,54.99,0.0,0.0
20211118,1650.07,1650.07,1622.18,1622.81,0.0,-1.86,66.19,49.9,0.0,0.0
20211119,1624.3,1638.79,1624.3,1630.55,0.0,0.48,55.44,40.59,0.0,0.0
20211122,1634.48,1647.8,1629.58,1643.04,0.0,0.77,71.58,50.37,0.0,0.0
20211123,1643.78,1662.78,1636.63,1646.76,0.0,0.23,73.07,51.32,0.0,0.0
20211124,1648.19,1671.92,1645.84,1668.22,0.0,1.3,75.89,52.64,0.0,0.0
20211125,1673.19,1687.74,1664.17,1680.3,0.0,0.72,96.2,58.48,0.0,0.0
20211126,1684.69,1697.06,1675.31,1687.55,0.0,0.43,81.97,58.85,0.0,0.0
20211129,1714.97,1730.91,1677.15,1685.55,0.0,-0.12,129.7,106.81,0.0,0.0
20211130,1687.72,1689.16,1670.75,1685.28,0.0,-0.02,105.85,83.39,0.0,0.0
20211201,1681.58,1681.58,1645.95,1647.81,0.0,-2.22,77.4,60.86,0.0,0.0
20211202,1647.8,1659.67,1616.98,1617.55,0.0,-1.84,92.01,61.98,0.0,0.0
20211203,1621.68,1637.39,1618.99,1625.62,0.0,0.5,73.77,50.91,0.0,0.0
20211206,1625.32,1632.07,1584.38,1586.11,0.0,-2.43,82.13,55.02,0.0,0.0
20211207,1584.85,1595.25,1561.62,1568.17,0.0,-1.13,71.34,44.28,0.0,0.0
20211208,1574.27,1592.47,1571.33,1591.92,0.0,1.51,57.75,41.2,0.0,0.0
20211209,1594.58,1635.96,1593.89,1630.42,0.0,2.42,94.63,69.98,0.0,0.0
