time,open,close,high,low,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-08-25,942.64,942.94,943.72,927.36,243682322,961.29,921.74,882.19,77.41,74.89,82.45,2,1031.9,827.38
2011-08-26,940.53,952.81,954.72,937.97,227329861,965.28,923.71,882.15,83.93,77.91,95.98,2,1034.84,829.74
2011-08-29,951.55,954.03,959.67,947.73,237398936,968.65,925.05,881.44,86.52,80.78,98.0,2,1036.12,830.76
2011-08-30,957.29,934.19,960.15,933.82,221948113,968.83,925.15,881.47,78.35,79.97,75.12,2,1036.24,830.86
2011-08-31,931.79,921.5,936.1,911.82,166413549,966.64,923.95,881.26,66.72,75.55,49.05,2,1034.61,829.55
2011-09-01,921.97,917.75,930.19,913.16,144306019,965.26,922.96,880.66,50.78,67.29,17.76,2,1034.84,829.74
2011-09-02,916.07,909.85,918.59,902.48,136265102,965.16,922.5,879.84,38.12,57.57,-0.79,2,1034.55,829.51
2011-09-05,902.37,883.87,902.37,883.46,138659223,964.19,922.82,881.44,25.59,46.91,-17.05,2,1031.59,827.13
2011-09-06,876.71,874.74,884.61,869.81,107196813,964.88,922.62,880.36,18.88,37.56,-18.5,2,1024.74,821.64
2011-09-07,877.87,899.61,899.61,877.78,133033552,964.25,923.01,881.77,23.58,32.9,4.94,2,1020.23,818.02
2011-09-08,903.25,891.93,909.88,891.52,143055014,965.15,921.83,878.51,23.88,29.9,11.85,2,1014.57,813.48
2011-09-09,889.47,881.58,895.84,877.53,121048019,966.25,919.6,872.94,20.26,26.69,7.42,1,1006.66,807.15
2011-09-13,870.04,861.92,870.04,858.91,105326414,967.26,915.57,863.87,14.81,22.73,-1.03,1,996.44,798.95
2011-09-14,864.08,876.95,877.04,855.34,113202791,966.4,912.76,859.12,19.5,21.65,15.19,1,990.09,793.85
2011-09-15,877.93,875.86,885.71,875.68,120343214,964.55,909.74,854.94,23.81,22.37,26.69,1,985.02,789.79
2011-09-16,878.56,874.88,883.1,873.55,95303532,964.48,907.7,850.93,27.82,24.19,35.08,1,980.26,785.98
2011-09-19,871.88,854.71,871.88,854.64,91345498,966.03,904.82,843.6,18.59,22.32,11.12,1,974.14,781.07
2011-09-20,850.97,856.81,861.18,846.03,87643624,966.72,902.13,837.53,18.02,20.89,12.28,1,971.14,778.66
2011-09-21,856.8,881.03,881.56,854.29,135892291,962.57,899.36,836.15,30.28,24.02,42.82,2,971.84,779.22
2011-09-22,876.25,852.92,879.1,852.92,130032837,958.37,894.99,831.61,24.8,24.28,25.84,2,966.65,775.06
2011-09-23,840.18,843.48,848.27,833.77,118054710,953.18,890.02,826.86,22.77,23.77,20.75,2,961.28,770.75
